"state_name","state_abbrv","year","population","category","unemp_rate","crime_rate","murder_rate","rape_rate","robbery_rate","assault_rate"
"Idaho","ID",1979,905000,"1M- populations",5.8,288.7,5.4,20.6,43.3,219.4
"Illinois","IL",1979,11230000,"10M + populations",5.5,743.9,10.7,33.0,321.1,379.2
"Indiana","IN",1979,5400000,"5M+ populations",6.5,338.0,8.3,31.1,132.7,165.9
"Iowa","IA",1979,2903000,"1M-5M populations",4.2,181.2,2.2,11.0,50.2,117.7
"Kansas","KS",1979,2369000,"1M-5M populations",3.2,353.6,5.5,26.4,102.3,219.4
"Kentucky","KY",1979,3527000,"1M-5M populations",5.5,248.0,9.5,20.4,92.1,126.1
"Louisiana","LA",1979,4026000,"1M-5M populations",6.6,676.3,16.9,38.6,219.4,401.4
"Maine","ME",1979,1097000,"1M-5M populations",6.8,202.5,2.8,11.9,31.8,155.9
"Maryland","MD",1979,4149000,"1M-5M populations",5.8,795.5,9.8,39.4,331.2,415.2
"Massachusetts","MA",1979,5769000,"5M+ populations",5.5,531.3,3.7,24.8,203.2,299.6
"Michigan","MI",1979,9208000,"5M+ populations",7.8,614.2,9.1,44.5,219.6,341.1
"Minnesota","MN",1979,4060000,"1M-5M populations",4.2,221.0,2.3,21.5,92.5,104.8
"Mississippi","MS",1979,2406000,"1M-5M populations",5.7,323.6,12.6,21.7,70.7,218.6
"Missouri","MO",1979,4868000,"1M-5M populations",4.8,527.2,11.2,33.6,210.9,271.4
"Montana","MT",1979,786000,"1M- populations",5.2,224.2,4.2,20.6,33.1,166.3
"Nebraska","NE",1979,1574000,"1M-5M populations",3.0,225.9,4.1,21.5,73.5,126.8
"Nevada","NV",1979,702000,"1M- populations",4.9,835.6,17.5,59.5,407.5,351.0
"New Hampshire","NH",1979,887000,"1M- populations",3.2,139.9,2.4,17.1,28.6,91.8
"New Jersey","NJ",1979,7332000,"5M+ populations",6.9,501.2,6.6,27.8,250.0,216.8
"New Mexico","NM",1979,1241000,"1M-5M populations",6.4,586.0,12.4,46.9,121.0,405.6
"New York","NY",1979,17649000,"10M + populations",7.2,917.4,11.9,30.6,529.6,345.3
"North Carolina","NC",1979,5606000,"5M+ populations",4.8,446.1,10.7,20.3,77.2,337.9
"North Dakota","ND",1979,657000,"1M- populations",4.0,61.3,1.5,8.2,9.9,41.7
"Ohio","OH",1979,10731000,"10M + populations",5.8,457.5,8.1,31.8,194.8,222.8
"Oklahoma","OK",1979,2892000,"1M-5M populations",3.4,405.2,9.7,33.0,102.6,260.0
"Oregon","OR",1979,2527000,"1M-5M populations",6.7,545.4,4.2,44.4,130.6,366.2
"Pennsylvania","PA",1979,11731000,"10M + populations",6.9,333.6,6.2,21.6,152.2,153.6
"Rhode Island","RI",1979,929000,"1M- populations",6.4,375.1,3.2,15.2,109.7,247.0
"South Carolina","SC",1979,2932000,"1M-5M populations",5.0,678.3,12.6,34.3,107.6,523.8
"South Dakota","SD",1979,689000,"1M- populations",3.4,159.1,2.0,16.4,20.3,120.3
"Tennessee","TN",1979,4380000,"1M-5M populations",5.8,414.0,9.8,34.5,166.1,203.6
"Texas","TX",1979,13385000,"10M + populations",4.3,507.9,16.7,45.1,191.8,254.3
"Utah","UT",1979,1367000,"1M-5M populations",4.3,304.2,4.8,27.9,77.7,193.8
"Vermont","VT",1979,493000,"1M- populations",5.1,184.2,1.4,22.9,28.6,131.2
"Virginia","VA",1979,5197000,"5M+ populations",4.7,301.0,8.6,27.1,111.6,153.7
"Washington","WA",1979,3926000,"1M-5M populations",6.6,434.6,4.8,46.4,120.7,262.8
"West Virginia","WV",1979,1878000,"1M-5M populations",6.9,168.1,6.8,15.5,43.9,101.8
"Wisconsin","WI",1979,4720000,"1M-5M populations",4.6,166.1,3.4,16.1,60.5,86.1
"Wyoming","WY",1979,450000,"1M- populations",2.7,350.9,9.1,27.6,42.2,272.0
"Alabama","AL",1980,3861466,"1M-5M populations",8.9,448.5,13.2,30.0,132.1,273.2
"Alaska","AK",1980,440142,"1M- populations",9.6,436.0,8.9,56.8,81.8,288.5
"Arizona","AZ",1980,2715357,"1M-5M populations",6.6,650.9,10.3,45.2,193.6,401.8
"Arkansas","AR",1980,2284037,"1M-5M populations",7.6,335.2,9.2,26.7,80.9,218.4
"California","CA",1980,23532680,"10M + populations",6.8,893.6,14.5,58.2,384.2,436.7
"Colorado","CO",1980,2878407,"1M-5M populations",5.8,528.6,6.9,52.5,160.1,309.2
"Connecticut","CT",1980,3095224,"1M-5M populations",5.8,412.5,4.7,21.6,218.0,168.1
"Delaware","DE",1980,594779,"1M- populations",7.6,474.8,6.9,24.2,137.0,306.7
"District of Columbia","DC",1980,635233,"1M- populations",7.4,2010.6,31.5,69.1,1400.6,509.4
"Florida","FL",1980,9567112,"5M+ populations",6.1,983.5,14.5,56.9,355.5,556.6
"Georgia","GA",1980,5400851,"5M+ populations",6.3,555.3,13.8,44.3,197.6,299.7
"Hawaii","HI",1980,964680,"1M- populations",5.0,299.5,8.7,34.7,190.2,65.8
"Idaho","ID",1980,943629,"1M- populations",7.5,313.4,3.1,22.4,46.8,241.1
"Illinois","IL",1980,11355062,"10M + populations",8.2,808.0,10.6,34.8,367.0,395.6
"Indiana","IN",1980,5461103,"5M+ populations",9.6,377.8,8.9,33.1,141.4,194.5
"Iowa","IA",1980,2907804,"1M-5M populations",6.0,200.4,2.2,14.3,54.9,129.0
"Kansas","KS",1980,2354783,"1M-5M populations",4.4,389.3,6.9,31.5,113.1,237.8
"Kentucky","KY",1980,3641479,"1M-5M populations",8.0,266.7,8.8,19.2,95.2,143.5
"Louisiana","LA",1980,4199542,"1M-5M populations",6.9,665.0,15.7,44.5,197.0,407.8
"Maine","ME",1980,1123670,"1M-5M populations",7.6,193.4,2.8,12.9,30.8,146.8
"Maryland","MD",1980,4192211,"1M-5M populations",6.6,852.4,9.5,40.1,392.7,410.1
"Massachusetts","MA",1980,5728288,"5M+ populations",5.6,601.3,4.1,27.3,235.5,334.4
"Michigan","MI",1980,9228128,"5M+ populations",12.3,639.5,10.2,46.6,244.0,338.6
"Minnesota","MN",1980,4061235,"1M-5M populations",5.8,227.8,2.6,23.2,99.1,102.9
"Mississippi","MS",1980,2511491,"1M-5M populations",7.4,341.9,14.5,24.6,81.0,221.7
"Missouri","MO",1980,4901288,"1M-5M populations",7.2,554.5,11.1,32.6,223.6,287.2
"Montana","MT",1980,781592,"1M- populations",6.1,222.6,4.0,21.0,34.0,163.6
"Nebraska","NE",1980,1563921,"1M-5M populations",3.9,224.6,4.4,23.2,82.2,114.7
"Nevada","NV",1980,800312,"1M- populations",6.2,912.6,20.0,67.2,460.6,364.9
"New Hampshire","NH",1980,919114,"1M- populations",4.5,179.8,2.5,17.3,42.0,118.0
"New Jersey","NJ",1980,7342164,"5M+ populations",7.2,604.4,6.9,30.7,303.7,263.0
"New Mexico","NM",1980,1295474,"1M-5M populations",7.6,615.0,13.1,43.3,127.9,430.7
"New York","NY",1980,17506690,"10M + populations",7.5,1029.5,12.7,30.9,641.3,344.6
"North Carolina","NC",1980,5843665,"5M+ populations",6.4,455.0,10.6,22.7,82.3,339.4
"North Dakota","ND",1980,652437,"1M- populations",4.9,54.0,1.2,9.5,7.7,35.6
"Ohio","OH",1980,10766808,"10M + populations",8.4,498.3,8.1,34.3,223.7,232.2
"Oklahoma","OK",1980,3001252,"1M-5M populations",4.4,419.5,10.0,36.3,104.9,268.4
"Oregon","OR",1980,2610477,"1M-5M populations",8.5,490.4,5.1,41.5,152.4,291.4
"Pennsylvania","PA",1980,11824220,"10M + populations",8.0,363.9,6.8,23.0,177.9,156.1
"Rhode Island","RI",1980,945835,"1M- populations",7.2,408.5,4.4,17.1,118.6,268.3
"South Carolina","SC",1980,3064557,"1M-5M populations",6.7,660.0,11.4,37.5,118.1,493.0
"South Dakota","SD",1980,688217,"1M- populations",4.8,126.8,0.7,12.5,20.1,93.6
"Tennessee","TN",1980,4545590,"1M-5M populations",7.4,458.1,10.8,37.4,180.6,229.4
"Texas","TX",1980,14169829,"10M + populations",5.1,550.3,16.9,47.3,208.5,277.6
"Utah","UT",1980,1458729,"1M-5M populations",6.2,303.3,3.8,27.7,80.2,191.7
"Vermont","VT",1980,511299,"1M- populations",6.2,178.8,2.2,29.1,38.9,108.5
"Virginia","VA",1980,5323412,"5M+ populations",5.2,307.2,8.6,27.4,120.1,151.1
"Washington","WA",1980,4113331,"1M-5M populations",8.1,464.3,5.5,52.7,135.1,271.0
"West Virginia","WV",1980,1930787,"1M-5M populations",9.5,183.7,7.1,15.8,48.5,112.2
"Wisconsin","WI",1980,4680917,"1M-5M populations",7.2,182.6,2.9,14.9,70.7,94.1
"Wyoming","WY",1980,468954,"1M- populations",3.9,392.6,6.2,28.6,44.4,313.5
"Alabama","AL",1981,3916000,"1M-5M populations",10.6,470.5,11.9,26.1,126.5,306.1
"Alaska","AK",1981,412000,"1M- populations",9.4,615.8,14.6,102.2,114.6,384.5
"Arizona","AZ",1981,2793000,"1M-5M populations",6.2,575.8,8.1,38.1,177.6,352.0
"Arkansas","AR",1981,2294000,"1M-5M populations",8.7,310.3,9.1,25.2,77.4,198.6
"California","CA",1981,24159000,"10M + populations",7.4,863.0,13.0,56.2,388.2,405.6
"Colorado","CO",1981,2963000,"1M-5M populations",5.7,531.7,8.1,45.6,159.5,318.5
"Connecticut","CT",1981,3132000,"1M-5M populations",6.2,448.1,5.4,21.9,246.1,174.6
"Delaware","DE",1981,598000,"1M- populations",7.8,509.0,6.7,28.4,141.1,332.8
"District of Columbia","DC",1981,636000,"1M- populations",8.9,2274.8,35.1,65.1,1635.1,539.6
"Florida","FL",1981,10166000,"10M + populations",6.7,965.1,15.0,56.1,348.9,545.0
"Georgia","GA",1981,5569000,"5M+ populations",6.4,548.2,17.2,42.4,196.4,292.1
"Hawaii","HI",1981,979000,"1M- populations",5.4,247.6,4.8,34.7,148.4,59.7
"Idaho","ID",1981,959000,"1M- populations",7.7,283.3,4.5,20.6,37.7,220.4
"Illinois","IL",1981,11455000,"10M + populations",8.5,792.5,10.5,32.4,373.2,376.3
