State,Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate
Nebraska,1997,1657000,438.4,3,24.5,66.2,344.7
Nevada,1997,1677000,798.7,11.2,59.9,302.4,425.3
New Hampshire,1997,1173000,113.2,1.4,33.7,23.4,54.8
New Jersey,1997,8053000,492.6,4.2,21.5,210.6,256.4
New York,1997,18137000,688.6,6,22.5,309.3,350.8
North Carolina,1997,7425000,607,8.3,31.6,172.6,394.5
North Dakota,1997,641000,87.2,0.9,24.8,6.4,55.1
Ohio,1997,11186000,435.4,4.7,40.8,158.7,231.2
Oklahoma,1997,3317000,559.5,6.9,45.7,103.9,403
Oregon,1997,3243000,444.4,2.9,40.3,117.5,283.7
Pennsylvania,1997,12020000,442.1,5.9,27.4,156.3,252.6
Rhode Island,1997,987000,333.5,2.5,36.8,71.6,222.6
South Carolina,1997,3760000,990.3,8.4,48.9,176.2,756.9
South Dakota,1997,738000,197.4,1.4,48.4,23.3,124.4
Tennessee,1997,5368000,789.7,9.5,56.9,214,509.2
Texas,1997,19439000,602.5,6.8,41.2,157,397.5
Utah,1997,2059000,334,2.4,47.5,68.4,215.8
Vermont,1997,589000,119.7,1.5,26.5,13.4,78.3
Virginia,1997,6734000,345.2,7.2,27,124.5,186.5
Washington,1997,5610000,440.7,4.3,51.4,120,265
West Virginia,1997,1816000,218.7,4.1,19.5,43.1,151.9
Wisconsin,1997,5170000,270.6,4,20.3,100.9,145.5
Wyoming,1997,480000,255.2,3.5,28.5,17.7,205.4
Alaska,1998,614000,653.9,6.7,68.6,86.6,492
New Mexico,1998,1737000,961.4,10.9,55.1,163.4,732
Alabama,1998,4352000,512.1,8.1,33.2,130.9,339.9
Arizona,1998,4669000,577.9,8.1,31.1,165.2,373.6
Arkansas,1998,2538000,490.2,7.9,35.2,96.2,350.9
California,1998,32667000,703.7,6.6,29.9,210.6,456.6
Colorado,1998,3971000,377.9,4.6,47.4,81.5,244.4
Connecticut,1998,3274000,366.3,4.1,22.2,133.8,206.2
Delaware,1998,744000,762.4,2.8,67.1,194.2,498.3
District of Columbia,1998,523000,1718.5,49.7,36.3,689.5,943
Florida,1998,14916000,938.7,6.5,49.6,242.7,639.9
Georgia,1998,7642000,572.7,8.1,30.4,187.2,347
Hawaii,1998,1193000,246.9,2,29.5,102.7,112.7
Idaho,1998,1229000,282.2,2.9,31.4,21.5,226.4
Illinois,1998,12045000,807.7,8.4,34,248.5,516.9
Indiana,1998,5899000,431,7.7,33.1,111.2,279
Iowa,1998,2862000,311.5,1.9,25.4,50.9,233.3
Kansas,1998,2629000,417.3,6.6,42.9,87,280.9
Kentucky,1998,3936000,328,6,28.1,88.1,205.7
Louisiana,1998,4369000,779.5,12.8,36.8,198,531.9
Maine,1998,1244000,125.9,2.1,18.1,21.1,84.6
Maryland,1998,5135000,796.6,10,33.4,298.7,454.5
Massachusetts,1998,6147000,621.3,2,27.4,96.6,495.2
Michigan,1998,9817000,620.8,7.3,50.4,155.8,407.3
Minnesota,1998,4725000,310.2,2.6,49.9,92.5,165.2
Mississippi,1998,2752000,410.7,11.4,37.3,123.3,238.6
Missouri,1998,5439000,555.7,7.3,26.9,149.2,372.2
Montana,1998,880000,204.2,2,26.7,26.4,149.1
Nebraska,1998,1663000,451.4,3.1,25.1,77.6,345.7
Nevada,1998,1747000,643.6,9.7,52.1,254.9,326.8
New Hampshire,1998,1185000,107.2,1.5,33.8,21.5,50.4
New Jersey,1998,8115000,440.2,4,20,186.2,230
New York,1998,18175000,637.8,5.1,21.1,270.3,341.3
North Carolina,1998,7546000,579.4,8.1,30.6,160.8,379.9
North Dakota,1998,638000,89.3,1.1,33.2,10.2,44.8
Ohio,1998,11209000,362.5,4,40.5,133.5,184.5
Oklahoma,1998,3347000,539.4,6.1,45.2,92,396.1
Oregon,1998,3282000,419.8,3.8,39.8,105.2,271
Pennsylvania,1998,12001000,420.5,5.3,26.9,164.9,223.5
Rhode Island,1998,988000,312.1,2.4,35.5,66.7,207.5
South Carolina,1998,3836000,903.2,8,45.7,154.9,694.6
South Dakota,1998,738000,154.3,1.4,35,20.2,97.8
Tennessee,1998,5431000,715,8.5,45.8,178,482.8
Texas,1998,19760000,564.6,6.8,40,145.1,372.6
Utah,1998,2100000,279.5,2.1,38.4,55.1,183.9
Vermont,1998,591000,106.3,2.2,27.6,9.5,67
Virginia,1998,6791000,325.7,6.2,26.7,105.6,187.2
Washington,1998,5689000,428.5,3.9,48.2,115.6,260.8
West Virginia,1998,1811000,248.6,4.3,18.7,37.3,188.3
Wisconsin,1998,5224000,249,3.6,19.9,85.6,139.9
Wyoming,1998,481000,247.6,4.8,27.7,16.2,199
Alaska,1999,619500,630.8,8.4,83.5,91.4,447.6
New Mexico,1999,1739844,834.6,9.8,54.3,148.2,622.3
Alabama,1999,4369862,490.2,7.9,34.6,121.2,326.5
Arizona,1999,4778332,551.1,8,28.9,152.5,361.6
Arkansas,1999,2551373,425.2,5.6,27.8,79.3,312.4
California,1999,33145121,627.2,6,28.2,181.1,411.7
Colorado,1999,4056133,340.5,4.6,41.4,75.3,219.2
Connecticut,1999,3282031,345.6,3.3,19.9,123.5,198.9
Delaware,1999,753538,734.4,3.2,70.2,198,463
District of Columbia,1999,519000,1627.7,46.4,47.8,644.3,889.2
Florida,1999,15111244,854,5.7,46.3,211.6,590.5
Georgia,1999,7788240,533.9,7.5,29.8,166.4,330.3
Hawaii,1999,1185497,234.9,3.7,29.9,88.1,113.3
Idaho,1999,1251700,244.9,2,33.3,17.8,191.8
Illinois,1999,12128370,689.5,7.7,35.4,217.4,428.9
Indiana,1999,5942901,374.6,6.6,27,109.3,231.7
Iowa,1999,2869413,280,1.5,27.2,36.6,214.7
Kansas,1999,2654052,382.8,6,40.1,77.1,259.5
Kentucky,1999,3960825,308.3,5.1,29,78.4,195.8
Louisiana,1999,4372035,732.7,10.7,33.1,173.6,515.2
Maine,1999,1253040,112,2,19.1,19.4,71.6
Maryland,1999,5171634,743.4,9,30,263.7,440.8
Massachusetts,1999,6175169,551,2,26.9,96,426
Michigan,1999,9863775,574.9,7,49.2,143,375.7
Minnesota,1999,4775508,274,2.8,42.7,82,146.5
Mississippi,1999,2768619,349.3,7.7,41.8,111.6,188.2
Missouri,1999,5468338,500.2,6.6,26.3,130.7,336.6
Montana,1999,882779,236.8,2.5,33.2,27.1,174
Nebraska,1999,1666028,430.2,3.6,24.8,75.9,325.9
Nevada,1999,1809253,569.9,9.1,52.1,232.6,276
New Hampshire,1999,1201134,96.5,1.5,28.7,21.4,44.9
New Jersey,1999,8143412,411.9,3.5,17.3,174.9,216.1
New York,1999,18196601,588.8,5,19.6,240.8,323.5
North Carolina,1999,7650789,542.1,7.2,28.2,158,348.7
North Dakota,1999,633666,66.9,1.6,22.4,8.8,34.1
Ohio,1999,11256654,316.4,3.5,36.7,128,148.2
Oklahoma,1999,3358044,508.2,6.9,40.9,82.9,377.5
Oregon,1999,3316154,374.9,2.7,36.8,86.2,249.3
Pennsylvania,1999,11994016,420.5,4.9,27.3,155.7,232.5
Rhode Island,1999,990819,286.6,3.6,39.5,79.5,164
South Carolina,1999,3885736,847.2,6.6,40.8,148.2,651.5
South Dakota,1999,733133,167.4,2.5,45.8,14,105
Tennessee,1999,5483535,695,7.1,44,156.8,487
Texas,1999,20044141,560.3,6.1,38,146.7,369.5
Utah,1999,2129836,275.6,2.1,37.8,54.4,181.3
Vermont,1999,593740,113.9,2.9,22.9,10.9,77.1
Virginia,1999,6872912,314.7,5.7,25,101.1,182.8
Washington,1999,5756361,377.3,3,47.1,100.9,226.3
West Virginia,1999,1806928,350.7,4.4,18.7,36.6,291
Wisconsin,1999,5250446,245.8,3.4,20.1,84.7,137.6
Wyoming,1999,479602,232.5,2.3,28.6,15.4,186.2
Alaska,2000,626932,566.9,4.3,79.3,78.2,405.1
New Mexico,2000,1819046,757.9,7.4,50.7,137.4,562.4
Alabama,2000,4447100,486.2,7.4,33.3,128.2,317.2
Arizona,2000,5130632,531.7,7,30.7,146.3,347.7
Arkansas,2000,2673400,445.3,6.3,31.7,74.8,332.4
California,2000,33871648,621.6,6.1,28.9,177.9,408.7
Colorado,2000,4301261,334,3.1,41.2,70.5,219.1
Connecticut,2000,3405565,324.7,2.9,19.9,112.5,189.4
Delaware,2000,783600,684.4,3.2,54.1,177.9,449.2
District of Columbia,2000,572059,1507.9,41.8,43.9,621.3,801
Florida,2000,15982378,812,5.6,44.2,199,563.2
Georgia,2000,8186453,504.7,8,24,161.9,310.9
Hawaii,2000,1211537,243.8,2.9,28.6,92.7,119.7
Idaho,2000,1293953,252.5,1.2,29.7,17.2,204.3
Illinois,2000,12419293,653.8,7.2,31.6,206.5,408.5
Indiana,2000,6080485,349.1,5.8,28.9,103.3,211.1
Iowa,2000,2926324,266.4,1.6,23.1,36.6,205.1
Kansas,2000,2688418,389.4,6.3,38,76.2,269
Kentucky,2000,4041769,294.5,4.8,27,80.6,182.2
Louisiana,2000,4468976,681.1,12.5,33.5,168.5,466.6
Maine,2000,1274923,109.6,1.2,25.1,19.4,63.9
Maryland,2000,5296486,786.6,8.1,29.1,256,493.3
Massachusetts,2000,6349097,476.1,2,26.7,91.6,355.9
Michigan,2000,9938444,555,6.7,50.6,138,359.7
Minnesota,2000,4919479,280.8,3.1,45.5,75.5,156.7
Mississippi,2000,2844658,360.9,9,35.8,95,221.1
Missouri,2000,5595211,490,6.2,24.1,135.8,323.9
Montana,2000,902195,311.1,2.2,34.1,22.5,252.3
Nebraska,2000,1711263,327.6,3.7,25.5,67,231.4
Nevada,2000,1998257,524.2,6.5,43,227.3,247.3
New Hampshire,2000,1235786,175.4,1.8,42.2,36.7,94.7
New Jersey,2000,8414350,383.8,3.4,16.1,161.1,203.2
New York,2000,18976457,553.9,5,18.6,213.6,316.7
North Carolina,2000,8049313,497.6,7,27.1,156.5,307
North Dakota,2000,642200,81.4,0.6,26.3,8.7,45.8
Ohio,2000,11353140,334.1,3.7,37.6,137.5,155.3
Oklahoma,2000,3450654,497.8,5.3,41.2,75.8,375.5
Oregon,2000,3421399,350.7,2,37.6,84.4,226.7
Pennsylvania,2000,12281054,420,4.9,26.4,147.8,240.9
Rhode Island,2000,1048319,297.7,4.3,39.3,88,166.2
South Carolina,2000,4012012,828.1,7.3,41.4,155,624.5
South Dakota,2000,754844,166.8,0.9,40.4,17.4,108.1
Tennessee,2000,5689283,707.2,7.2,38.4,166.4,495.2
Texas,2000,20851820,545.1,5.9,37.7,145.1,356.3
Utah,2000,2233169,255.7,1.9,38.6,55.6,159.5
Vermont,2000,608827,113.5,1.5,23,19.2,69.8
Virginia,2000,7078515,281.7,5.7,22.8,88.9,164.3
Washington,2000,5894121,369.7,3.3,46.4,98.6,221.3
West Virginia,2000,1808344,316.5,2.5,18.3,41.4,254.2
Wisconsin,2000,5363675,236.8,3.2,21.7,84.6,127.3
Wyoming,2000,493782,266.5,2.4,32.4,14.2,217.5
Alaska,2001,633630,589.5,6.2,79.1,81.1,423.1
New Mexico,2001,1830935,780.4,5.4,46.4,147.2,581.3
Alabama,2001,4468912,438.2,8.5,30.6,125,274.1
Arizona,2001,5306966,540.3,7.5,28.6,167.1,337.1
Arkansas,2001,2694698,452.4,5.5,33.1,80.9,332.8
California,2001,34600463,615.2,6.4,28.8,186.7,393.3
Colorado,2001,4430989,349.6,3.6,43.6,80.2,222.3
Connecticut,2001,3434602,334.6,3.1,18.6,121.8,191.1
Delaware,2001,796599,611.1,2.9,52.7,145.1,410.4
District of Columbia,2001,573822,1602.4,40.3,31.5,658.7,871.9
Florida,2001,16373330,798.3,5.3,40.6,200.7,551.7
Georgia,2001,8405677,495.7,7.1,25.9,171.3,291.4
Hawaii,2001,1227024,254,2.6,33.3,93.1,125
Idaho,2001,1320585,243.1,2.3,32.2,18.6,190.1
Illinois,2001,12520227,633.1,7.8,32,199.1,394.1
Indiana,2001,6126743,371.1,6.7,28,117,219.3
Iowa,2001,2931967,268.2,1.7,22.1,39.4,205.1
Kansas,2001,2702125,403.7,3.4,35,89.7,275.7
Kentucky,2001,4068816,258.3,4.4,25.8,80.3,147.7
Louisiana,2001,4470368,686.3,11.2,31.4,175.9,467.7
Maine,2001,1284470,111.7,1.5,25.4,20.6,64.3
Maryland,2001,5386079,781.4,8.3,26.9,251.1,495.1
Massachusetts,2001,6401164,477.8,2.2,29,101.2,345.4
Michigan,2001,10006266,553.9,6.7,52.6,129.3,365.3
Minnesota,2001,4984535,263.7,2.4,44.9,75.4,141.1
Mississippi,2001,2859733,349.9,9.9,40.1,115.2,184.7
Missouri,2001,5637309,540.5,6.6,24.5,137.8,371.6
Montana,2001,905382,352,3.8,20.8,25.4,302.1
Nebraska,2001,1720039,303.1,2.5,25.1,65.6,210
Nevada,2001,2097722,589.2,8.6,42.1,235.1,303.4
New Hampshire,2001,1259359,170.2,1.3,36.4,35.3,97.2
New Jersey,2001,8511116,388.8,3.9,15,165.8,204.1
New York,2001,19084350,513.6,5,18.6,191.5,298.5
North Carolina,2001,8206105,493.1,6.2,25.4,162.1,299.4
North Dakota,2001,636550,79.3,1.1,25.8,9.4,43
Ohio,2001,11389785,351.4,4,39.2,151,157.2
Oklahoma,2001,3469577,510.9,5.3,42.8,79.1,383.6
Oregon,2001,3473441,306.6,2.4,33.8,79.1,191.3
Pennsylvania,2001,12303104,409.9,5.3,28.2,142.2,234.2
Rhode Island,2001,1059659,309.3,3.7,39.3,93,173.4
South Carolina,2001,4062125,815.2,8.1,43.5,147.4,616.1
South Dakota,2001,758324,154.4,0.9,46.3,13.6,93.6
Tennessee,2001,5749398,744,7.4,38.2,177.7,520.7
Texas,2001,21370983,571.6,6.2,38.2,165.4,361.7
Utah,2001,2278712,233.2,2.9,39.3,52.5,138.4
Vermont,2001,612978,105.1,1.1,17.5,17.5,69
Virginia,2001,7196750,291,5.1,24.6,95.3,166
Washington,2001,5993390,354.7,3,43.4,99,209.3
West Virginia,2001,1800975,279.6,2.2,17.8,39.3,220.3
Wisconsin,2001,5405947,231,3.6,21.1,82.2,124.1
Wyoming,2001,493754,257.6,1.8,31,17,207.8
Alaska,2002,641482,565.4,5.1,79.7,76.2,404.4
New Mexico,2002,1852044,740.7,8.2,55.5,119.1,558
Alabama,2002,4478896,445,6.8,37.2,133.1,268
Arizona,2002,5441125,554.5,7.1,29.6,147,370.8
Arkansas,2002,2706268,425,5.2,27.9,93.3,298.6
California,2002,35001986,595.4,6.8,29.1,185.6,373.8
Colorado,2002,4501051,352.9,4,45.9,79.5,223.5
Connecticut,2002,3458587,312.5,2.4,21.4,117.6,171
Delaware,2002,805945,600,3.2,44.4,143.2,409.2
District of Columbia,2002,569157,1637.9,46.4,46,673.6,871.8
Florida,2002,16691701,771.2,5.5,40.5,195.2,530.1
Georgia,2002,8544005,459.6,7.1,24.7,157.2,270.7
Hawaii,2002,1240663,262.9,1.9,30,97.5,133.5
Idaho,2002,1343124,254.6,2.7,37,17.9,197
Illinois,2002,12586447,601.9,7.6,34.7,201.1,358.4
Indiana,2002,6156913,357.3,5.9,29.9,107.4,214.1
Iowa,2002,2935840,285.7,1.5,27.1,39.8,217.2
Kansas,2002,2711769,377.2,2.9,38.2,79.8,256.3
Kentucky,2002,4089822,271.4,4.7,26.6,76.6,163.6
Louisiana,2002,4476192,663.3,13.2,34.2,159.1,456.7
Maine,2002,1294894,107.8,1.1,29.1,20.9,56.8
Maryland,2002,5450525,770.8,9.4,25.1,246.2,490.1
Massachusetts,2002,6421800,484.9,2.7,27.7,111.6,342.9
Michigan,2002,10043221,540.7,6.8,53.4,118,362.6
Minnesota,2002,5024791,267.2,2.2,45.2,78.4,141.4
Mississippi,2002,2866733,343.9,9.2,39.3,117.1,178.3
Missouri,2002,5669544,539,5.8,25.8,123.9,383.4
Montana,2002,910372,351.2,1.8,26,31.1,292.3
Nebraska,2002,1727564,314.2,2.8,26.9,78.7,205.9
Nevada,2002,2167455,639.3,8.4,42.8,236.1,352
New Hampshire,2002,1274405,161.3,0.9,35,32.4,93
New Jersey,2002,8575252,376.1,4,15.9,162.7,193.5
New York,2002,19134293,496.6,4.8,20.3,191.6,280
North Carolina,2002,8305820,471,6.6,26.4,146.9,291
North Dakota,2002,633911,78.2,0.8,25.7,9.1,42.6
Ohio,2002,11408699,351.7,4.6,42.2,156.6,148.3
Oklahoma,2002,3489700,504,4.7,45.1,85,369.2
Oregon,2002,3520355,292.5,2,35.2,77.9,177.4
Pennsylvania,2002,12328827,402.1,5.1,30.3,139.2,227.6
Rhode Island,2002,1068326,285.6,3.8,37,85.7,159
South Carolina,2002,4103770,822.7,7.3,47.7,140.7,627
South Dakota,2002,760437,177.5,1.4,47.5,15.4,113.2
Tennessee,2002,5789796,717.8,7.3,39.6,162.6,508.5
Texas,2002,21736925,579.7,6,39.1,172.9,361.7
Utah,2002,2318789,236.7,2,40.7,49.2,144.8
Vermont,2002,616408,106.7,2.1,20.4,12.5,71.7
Virginia,2002,7287829,291.7,5.3,25.2,95.5,165.6
Washington,2002,6067060,345.5,3,45.1,95.5,201.9
West Virginia,2002,1804884,233.9,3.2,18.2,36.4,176.1
Wisconsin,2002,5439692,225,2.8,22.7,86.6,112.8
Wyoming,2002,498830,273.4,3,29.7,18.6,222.1
Alaska,2003,648280,598,6,93.3,68.8,429.9
New Mexico,2003,1878562,667.3,6.2,50,103.1,507.9
Alabama,2003,4503726,429.2,6.6,36.8,134.1,251.7
Arizona,2003,5579222,513.3,7.9,33.3,136.6,335.6
Arkansas,2003,2727774,456.4,6.6,33.4,81.6,334.7
California,2003,35462712,579.6,6.8,28.2,179.8,364.8
Colorado,2003,4547633,346.5,4.1,42.1,82.2,218.2
Connecticut,2003,3486960,316.8,3.2,20,120.8,172.7
Delaware,2003,818166,675.3,2.6,45.2,176.1,451.4
District of Columbia,2003,557620,1624.9,44.7,49.1,706.8,824.4
Florida,2003,16999181,731.1,5.4,39.6,185.4,500.6
Georgia,2003,8676460,454.5,7.6,25.7,161.9,259.3
Hawaii,2003,1248755,272.3,1.8,29.4,93.5,147.6
Idaho,2003,1367034,245.9,1.9,39.1,17.9,187
Illinois,2003,12649087,556.4,7.1,33.1,188,328.1
Indiana,2003,6199571,352.3,5.5,27.7,103.2,215.9
Iowa,2003,2941976,277.9,1.7,27.1,38.4,210.7
Kansas,2003,2724786,397.5,4.6,39.8,82.5,270.6
Kentucky,2003,4118189,248.5,4.4,27.3,78.3,138.5
Louisiana,2003,4493665,636.9,13,35.6,156,432.4
Maine,2003,1309205,108.6,1.2,27,22.1,58.3
Maryland,2003,5512310,703.5,9.5,24.6,241.3,428
Massachusetts,2003,6420357,473.1,2.2,28.8,124.8,317.4
Michigan,2003,10082364,511.3,6.1,54.3,111.6,339.3
Minnesota,2003,5064172,262.9,2.5,41.3,77.1,142
Mississippi,2003,2882594,323.9,9.3,37.4,104.6,172.6
Missouri,2003,5719204,490.8,5.1,24.5,116.9,344.3
Montana,2003,918157,365,3.3,26.8,32.5,302.5
Nebraska,2003,1737475,293.8,3.2,29,67.1,194.5
Nevada,2003,2242207,616,8.8,38.8,233,335.4
New Hampshire,2003,1288705,150.3,1.3,34,37.2,77.8
New Jersey,2003,8642412,364.3,4.7,14.9,154.4,190.4
New York,2003,19212425,465.8,4.9,19.6,186.3,255
North Carolina,2003,8421190,454.1,6,25.4,145.2,277.5
North Dakota,2003,633400,80.2,1.4,25.3,8.4,45.2
Ohio,2003,11437680,333.9,4.6,40.7,147.7,140.8
Oklahoma,2003,3506469,506.4,5.9,42.8,91.9,365.8
Oregon,2003,3564330,294.8,1.9,34.2,79.9,178.8
Pennsylvania,2003,12370761,397.8,5.2,28.7,145.3,218.5
Rhode Island,2003,1076084,285.7,2.3,46.9,77.1,159.3
South Carolina,2003,4148744,806.4,7.3,47.1,139.8,612.2
South Dakota,2003,764905,173.7,1.3,46.5,13.6,112.3
Tennessee,2003,5845208,691.3,6.8,36.4,161,487.1
Texas,2003,22103374,553.1,6.4,36.3,167.5,342.9
Utah,2003,2352119,250.4,2.6,39.1,53.5,155.3
Vermont,2003,619343,114.2,2.4,20.3,10,81.4
Virginia,2003,7365284,278.2,5.6,24.5,91.1,156.9
Washington,2003,6131298,346.9,3,46.7,93.3,204
West Virginia,2003,1811440,255.4,4,17.2,38.7,195.5
Wisconsin,2003,5474290,221.1,3.3,22,80.3,115.5
Wyoming,2003,502111,261.7,2.8,27.1,16.7,215.1
Alaska,2004,657755,632.3,5.6,84.8,68,473.9
New Mexico,2004,1903006,687.4,8.9,54.6,108.4,515.6
Alabama,2004,4525375,427,5.6,38.5,133.5,249.4
Arizona,2004,5739879,504.4,7.2,33,134.5,329.6
Arkansas,2004,2750000,502.3,6.4,43,86.3,366.7
California,2004,35842038,527.8,6.7,26.8,172.3,322
Colorado,2004,4601821,372,4.4,42.3,81.3,244.2
Connecticut,2004,3498966,289,2.9,21.6,119.7,144.9
Delaware,2004,830069,615,3.4,43,161.8,406.8
District of Columbia,2004,554239,1369.4,35.7,40.1,577.7,715.9
Florida,2004,17385430,711.8,5.4,38,172.5,495.8
Georgia,2004,8918129,451,6.9,26.8,153.1,264.2
Hawaii,2004,1262124,254.6,2.6,26.4,74.8,150.8
Idaho,2004,1395140,247.4,2.2,42.6,17.3,185.4
Illinois,2004,12712016,545.7,6.1,33.2,177.6,328.7
Indiana,2004,6226537,325.9,5.1,29,102.4,189.5
Iowa,2004,2952904,287.8,1.5,26.5,39.3,220.6
Kansas,2004,2733697,377.9,4.5,41.8,66.3,265.4
Kentucky,2004,4141835,245.1,5.7,29.9,78.9,130.6
Louisiana,2004,4506685,640,12.7,35.9,145.7,445.8
Maine,2004,1314985,103.7,1.4,24,22,56.4
Maryland,2004,5561332,700.6,9.4,23.7,229.7,437.9
Massachusetts,2004,6407382,460.2,2.7,28,116.8,312.8
Michigan,2004,10104206,492.2,6.4,54.3,112.2,319.4
Minnesota,2004,5096546,269.8,2.2,41.7,79.9,146.1
Mississippi,2004,2900768,295.4,7.8,40,86.3,161.2
Missouri,2004,5759532,490.1,6.1,25.7,115.1,343.1
Montana,2004,926920,293.8,3.2,29.5,25.1,235.9
Nebraska,2004,1747704,308.6,2.3,35.5,65.1,205.7
Nevada,2004,2332898,616.4,7.4,40.9,210.3,357.8
New Hampshire,2004,1299169,169.5,1.3,35.9,38.5,93.8
New Jersey,2004,8685166,356.3,4.5,15.3,150.6,185.9
New York,2004,19280727,440.4,4.6,18.7,173.8,243.3
North Carolina,2004,8540468,447.8,6.2,27.4,138,276.2
North Dakota,2004,636308,87.7,1.3,27.8,6.8,51.9
Ohio,2004,11450143,338.7,4.4,41.4,152.2,140.7
Oklahoma,2004,3523546,500.5,5.3,44.2,87.7,363.3
Oregon,2004,3591363,298.6,2.5,35.7,76.6,183.8
Pennsylvania,2004,12394471,411.5,5.2,28.5,149.1,228.6
Rhode Island,2004,1079916,247.5,2.4,29.6,67.7,147.8
South Carolina,2004,4197892,789.9,6.8,42.2,130.3,610.6
South Dakota,2004,770621,171.2,2.2,43.6,14.5,110.8
Tennessee,2004,5893298,697.6,6.1,38.7,150.4,502.5
Texas,2004,22471549,540.9,6.1,37.3,159.4,338.1
Utah,2004,2420708,233.3,1.9,39.9,51.1,140.4
Vermont,2004,621233,114.8,2.6,25.8,12.6,73.9
Virginia,2004,7481332,275.5,5.2,24.3,92.2,153.8
Washington,2004,6207046,343.6,3.1,46,94.5,200
West Virginia,2004,1812548,281.9,3.8,19.1,42.7,216.4
Wisconsin,2004,5503533,209.8,2.8,20.6,73.9,112.5
Wyoming,2004,505887,229.9,2.2,22.1,13.2,192.3
Alaska,2005,663253,632,4.8,81.1,81,465.4
New Mexico,2005,1925985,646,7.5,54.1,98.3,486.5
Alabama,2005,4548327,433,8.2,34.4,141.7,248.3
Arizona,2005,5953007,512,7.5,33.7,144.1,326.7
Arkansas,2005,2775708,528,6.8,43.3,91.2,387.2
California,2005,36154147,526,6.9,26,176,317.1
Colorado,2005,4663295,397,3.7,43.4,84.7,264.9
Connecticut,2005,3500701,273,3,20.3,112.3,136.9
Delaware,2005,841741,633,4.4,44.8,155.2,429.1
District of Columbia,2005,582049,1380,33.5,28.5,635.7,682.2
Florida,2005,17768191,709,5,37.1,169.6,497.2
Georgia,2005,9132553,446,6.2,23.5,153.7,262.5
Hawaii,2005,1273278,256,1.9,26.9,78.6,148
Idaho,2005,1429367,257,2.4,40.4,18.6,195.3
Illinois,2005,12765427,552,6,33.8,182.2,330.3
Indiana,2005,6266019,324,5.7,29.6,108.7,180
Iowa,2005,2965524,293,1.3,28.6,38.9,224.5
Kansas,2005,2748172,389,3.7,40,65.3,280.4
Kentucky,2005,4172608,267,4.6,34.1,88.4,139.8
Louisiana,2005,4507331,597,10,31.5,118.4,436.6
Maine,2005,1318220,112,1.4,24.7,24.5,61.8
Maryland,2005,5589599,704,9.9,22.6,257.2,414.6
Massachusetts,2005,6433367,461,2.8,27.2,121.8,309
Michigan,2005,10100833,554,6.2,51.5,132.1,363.9
Minnesota,2005,5126739,297,2.2,44,92.1,158.9
Mississippi,2005,2908496,280,7.4,39.4,82.7,150.1
Missouri,2005,5797703,526,6.9,28,124.1,366.6
Montana,2005,934737,282,1.9,32.2,18.9,228.7
Nebraska,2005,1758163,287,2.5,33,59.2,192.6
Nevada,2005,2412301,608,8.5,42.1,194.9,361.9
New Hampshire,2005,1306819,135,1.5,31.1,27.9,74.3
New Jersey,2005,8703150,355,4.8,13.9,151.8,184.7
New York,2005,19315721,444,4.5,18.8,182.1,238.9
North Carolina,2005,8672459,469,6.7,26.5,145.7,289.7
North Dakota,2005,634605,111,1.9,28.4,8.5,72.5
Ohio,2005,11470685,350,5.1,40.7,162.8,141.5
Oklahoma,2005,3543442,509,5.3,41.8,91.2,371
Oregon,2005,3638871,287,2.2,34.8,68.1,181.9
Pennsylvania,2005,12405348,425,6.1,28.9,154.9,235.4
Rhode Island,2005,1073579,252,3.2,30.1,72.3,146.9
South Carolina,2005,4246933,767,7.4,43.8,133.2,582.9
South Dakota,2005,774883,179,2.3,48.7,18.7,109.3
Tennessee,2005,5955745,757,7.2,36.8,168.1,545.2
Texas,2005,22928508,528,6.1,37.1,156.1,328.8
Utah,2005,2490334,225,2.2,36.9,44,142.2
Vermont,2005,622387,126,1.3,24.6,12.2,87.6
Virginia,2005,7564327,283,6.1,23.3,99.1,154.9
Washington,2005,6291899,346,3.3,44.7,92,205.7
West Virginia,2005,1814083,274,4.5,18.5,45,205.9
Wisconsin,2005,5527644,242,3.7,20.5,82.4,135.2
Wyoming,2005,508798,230,2.8,24,15.3,188.3
Alaska,2006,670053,688,5.4,76.4,89.5,516.7
New Mexico,2006,1954599,654.7,6.9,54.9,107.2,485.8
Alabama,2006,4599030,425.2,8.3,35.8,153.6,227.5
Arizona,2006,6166318,542.6,8.6,39.7,153.9,340.3
Arkansas,2006,2810872,552.8,7.3,47.1,97.8,400.6
California,2006,36457549,533.5,6.8,25.3,195.1,306.2
Colorado,2006,4753377,395.4,3.6,45.4,80.4,265.9
Connecticut,2006,3504809,299.7,3.9,19.9,127.3,148.7
Delaware,2006,853476,701,4.9,48.9,209.8,437.4
District of Columbia,2006,581530,1508.4,29.1,31.8,658.4,789.1
Florida,2006,18089888,716.4,6.2,35.8,188.8,485.6
Georgia,2006,9363941,477.9,6.5,23.2,165.6,282.7
Hawaii,2006,1285498,280.7,1.6,27.5,89,162.6
Idaho,2006,1466465,250,2.4,41.7,20,185.9
Illinois,2006,12831970,541.6,6.1,31.8,185.3,318.4
Indiana,2006,6313520,321.6,5.7,28.7,113.6,173.5
Iowa,2006,2982085,285.7,1.8,29.2,43.9,210.8
Kansas,2006,2764075,432.7,4.5,46.3,67.9,314
